,Gompertz,Logistic,Richards,Von-Bert,MMF
1,144.197591,271.719856,-5.39E-06,77.73689587,-300.8181697
2,146.1201536,273.4120895,-1.09E-06,79.75225753,-289.8655848
3,148.0602499,275.1139057,-2.20E-07,81.7954483,-279.4927781
4,150.017933,276.825347,-4.43E-08,83.86644443,-269.4853963
5,151.9932549,278.5464556,-8.95E-09,85.96521899,-259.7453408
6,153.9862666,280.2772741,-1.81E-09,88.09174197,-250.2162341
7,155.9970181,282.0178448,-3.65E-10,90.24598031,-240.8615008
8,158.0255585,283.7682103,-7.37E-11,92.42789797,-231.6555197
9,160.0719357,285.528413,-1.49E-11,94.63745597,-222.5793608
10,162.1361965,287.2984955,-3.00E-12,96.87461248,-213.6184764
11,164.2183869,289.0785002,-6.06E-13,99.13932281,-204.7613436
12,166.3185517,290.8684698,-1.22E-13,101.4315395,-195.998613
13,168.4367345,292.6684468,-2.47E-14,103.7512125,-187.3225495
14,170.5729782,294.4784739,-4.99E-15,106.098289,-178.7266484
15,172.7273244,296.2985937,-1.01E-15,108.4727134,-170.2053646
16,174.8998135,298.1288487,-2.03E-16,110.874428,-161.753915
17,177.0904851,299.9692817,-4.11E-17,113.3033721,-153.3681322
18,179.2993775,301.8199353,-8.29E-18,115.7594829,-145.0443527
19,181.5265281,303.6808521,-1.67E-18,118.2426951,-136.7793309
20,183.771973,305.5520748,-3.38E-19,120.7529408,-128.5701711
21,186.0357472,307.4336461,-6.82E-20,123.2901502,-120.4142743
22,188.3178849,309.3256085,-1.38E-20,125.8542509,-112.3092943
23,190.6184189,311.2280047,-2.78E-21,128.4451685,-104.2531027
24,192.9373808,313.1408775,-5.61E-22,131.0628263,-96.24375956
25,195.2748014,315.0642692,-1.13E-22,133.7071455,-88.27948954
26,197.6307102,316.9982227,-2.29E-23,136.3780452,-80.35866162
27,200.0051355,318.9427805,-4.62E-24,139.0754426,-72.47977207
28,202.3981046,320.8979851,-9.33E-25,141.7992527,-64.64143001
29,204.8096437,322.8638791,-1.88E-25,144.5493887,-56.84234509
30,207.2397776,324.840505,-3.80E-26,147.3257618,-49.08131684
31,209.6885303,326.8279054,-7.68E-27,150.1282814,-41.35722555
32,212.1559244,328.8261226,-1.55E-27,152.956855,-33.66902424
33,214.6419815,330.8351991,-3.13E-28,155.8113885,-26.01573177
34,217.1467219,332.8551773,-6.32E-29,158.6917857,-18.39642672
35,219.6701649,334.8860996,-1.28E-29,161.5979491,-10.81024199
36,222.2123287,336.9280082,-2.58E-30,164.5297793,-3.256360132
37,224.77323,338.9809454,-5.20E-31,167.4871752,4.265990922
38,227.3528848,341.0449534,-1.05E-31,170.4700344,11.75754157
39,229.9513075,343.1200744,-2.12E-32,173.4782526,19.21898388
40,232.5685117,345.2063504,-4.28E-33,176.5117243,26.65097462
41,235.2045096,347.3038236,-8.64E-34,179.5703423,34.05413789
42,237.8593124,349.4125358,-1.74E-34,182.653998,41.42906762
43,240.5329301,351.5325291,-3.52E-35,185.7625815,48.77632967
44,243.2253713,353.6638452,-7.11E-36,188.8959814,56.09646389
45,245.9366437,355.8065258,-1.44E-36,192.0540849,63.38998589
46,248.6667537,357.9606128,-2.90E-37,195.2367782,70.65738867
47,251.4157068,360.1261477,-5.85E-38,198.4439459,77.89914411
48,254.1835068,362.303172,-1.18E-38,201.6754715,85.11570436
49,256.9701569,364.4917272,-2.38E-39,204.9312373,92.30750306
50,259.7756588,366.6918546,-4.81E-40,208.2111243,99.47495651
51,262.600013,368.9035954,-9.72E-41,211.5150126,106.6184647
52,265.443219,371.1269909,-1.96E-41,214.842781,113.7384122
53,268.3052751,373.3620821,-3.96E-42,218.1943072,120.8351694
54,271.1861784,375.6089099,-8.00E-43,221.5694679,127.9090928
55,274.0859249,377.8675152,-1.62E-43,224.9681388,134.9605261
56,277.0045092,380.1379387,-3.26E-44,228.3901947,141.989801
57,279.941925,382.4202211,-6.58E-45,231.8355092,148.9972376
58,282.8981648,384.7144027,-1.33E-45,235.303955,155.9831451
59,285.8732198,387.020524,-2.68E-46,238.7954042,162.9478224
60,288.8670801,389.3386252,-5.42E-47,242.3097277,169.8915587
61,291.8797348,391.6687465,-1.09E-47,245.8467955,176.8146338
62,294.9111716,394.0109277,-2.21E-48,249.4064771,183.7173187
63,297.9613772,396.3652088,-4.46E-49,252.988641,190.5998761
64,301.0303371,398.7316294,-9.00E-50,256.5931549,197.4625604
65,304.1180357,401.110229,-1.82E-50,260.2198857,204.3056187
66,307.2244562,403.501047,-3.67E-51,263.8686997,211.1292907
67,310.3495806,405.9041227,-7.41E-52,267.5394626,217.9338091
68,313.4933899,408.3194951,-1.50E-52,271.2320391,224.7194001
69,316.6558639,410.7472032,-3.02E-53,274.9462936,231.4862834
70,319.8369812,413.1872856,-6.10E-54,278.6820896,238.2346727
71,323.0367194,415.6397809,-1.23E-54,282.4392902,244.964776
72,326.2550549,418.1047275,-2.49E-55,286.2177578,251.6767956
73,329.4919629,420.5821637,-5.02E-56,290.0173542,258.3709286
74,332.7474177,423.0721273,-1.01E-56,293.8379408,265.0473669
75,336.0213922,425.5746562,-2.05E-57,297.6793784,271.7062975
76,339.3138585,428.0897881,-4.13E-58,301.5415273,278.3479027
