,Gompertz,Logistic,Richards,Von-Bert,MMF
1,-144.197591,-271.719856,5.39E-06,-77.73689587,300.8181697
2,-146.1201536,-273.4120895,1.09E-06,-79.75225753,289.8655848
3,-148.0602499,-275.1139057,2.20E-07,-81.7954483,279.4927781
4,-150.017933,-276.825347,4.43E-08,-83.86644443,269.4853963
5,-151.9932549,-278.5464556,8.95E-09,-85.96521899,259.7453408
6,-153.9862666,-280.2772741,1.81E-09,-88.09174197,250.2162341
7,-155.9970181,-282.0178448,3.65E-10,-90.24598031,240.8615008
8,-158.0255585,-283.7682103,7.37E-11,-92.42789797,231.6555197
9,-160.0719357,-285.528413,1.49E-11,-94.63745597,222.5793608
10,-162.1361965,-287.2984955,3.00E-12,-96.87461248,213.6184764
11,-164.2183869,-289.0785002,6.06E-13,-99.13932281,204.7613436
12,-166.3185517,-290.8684698,1.22E-13,-101.4315395,195.998613
13,-168.4367345,-292.6684468,2.47E-14,-103.7512125,187.3225495
14,-170.5729782,-294.4784739,4.99E-15,-106.098289,178.7266484
15,-172.7273244,-296.2985937,1.01E-15,-108.4727134,170.2053646
16,-174.8998135,-298.1288487,2.03E-16,-110.874428,161.753915
17,-177.0904851,-299.9692817,4.11E-17,-113.3033721,153.3681322
18,-179.2993775,-301.8199353,8.29E-18,-115.7594829,145.0443527
19,-181.5265281,-303.6808521,1.67E-18,-118.2426951,136.7793309
20,-183.771973,-305.5520748,3.38E-19,-120.7529408,128.5701711
21,-186.0357472,-307.4336461,6.82E-20,-123.2901502,120.4142743
22,-188.3178849,-309.3256085,1.38E-20,-125.8542509,112.3092943
23,-190.6184189,-311.2280047,2.78E-21,-128.4451685,104.2531027
24,-192.9373808,-313.1408775,5.61E-22,-131.0628263,96.24375956
25,-194.2748014,-314.0642692,1,-132.7071455,89.27948954
26,-196.6307102,-315.9982227,1,-135.3780452,81.35866162
27,-199.0051355,-317.9427805,1,-138.0754426,73.47977207
28,-201.3981046,-319.8979851,1,-140.7992527,65.64143001
29,-203.8096437,-321.8638791,1,-143.5493887,57.84234509
30,-206.2397776,-323.840505,1,-146.3257618,50.08131684
31,-208.6885303,-325.8279054,1,-149.1282814,42.35722555
32,-210.1559244,-326.8261226,2,-150.956855,35.66902424
33,-212.6419815,-328.8351991,2,-153.8113885,28.01573177
34,-215.1467219,-330.8551773,2,-156.6917857,20.39642672
35,-217.6701649,-332.8860996,2,-159.5979491,12.81024199
36,-218.2123287,-332.9280082,4,-160.5297793,7.256360132
37,-220.77323,-334.9809454,4,-163.4871752,-0.265990922
38,-222.3528848,-336.0449534,5,-165.4700344,-6.757541567
39,-224.9513075,-338.1200744,5,-168.4782526,-14.21898388
40,-226.5685117,-339.2063504,6,-170.5117243,-20.65097462
41,-229.2045096,-341.3038236,6,-173.5703423,-28.05413789
42,-230.8593124,-342.4125358,7,-175.653998,-34.42906762
43,-233.5329301,-344.5325291,7,-178.7625815,-41.77632967
44,-233.2253713,-343.6638452,10,-178.8959814,-46.09646389
45,-235.9366437,-345.8065258,10,-182.0540849,-53.38998589
46,-238.6667537,-347.9606128,10,-185.2367782,-60.65738867
47,-240.4157068,-349.1261477,11,-187.4439459,-66.89914411
48,-242.1835068,-350.303172,12,-189.6754715,-73.11570436
49,-243.9701569,-351.4917272,13,-191.9312373,-79.30750306
50,-242.7756588,-349.6918546,17,-191.2111243,-82.47495651
51,-243.600013,-349.9035954,19,-192.5150126,-87.61846468
52,-244.443219,-350.1269909,21,-193.842781,-92.73841225
53,-246.3052751,-351.3620821,22,-196.1943072,-98.83516942
54,-249.1861784,-353.6089099,22,-199.5694679,-105.9090928
55,-246.0859249,-349.8675152,28,-196.9681388,-106.9605261
56,-246.0045092,-349.1379387,31,-197.3901947,-110.989801
57,-247.941925,-350.4202211,32,-199.8355092,-116.9972376
58,-247.8981648,-349.7144027,35,-200.303955,-120.9831451
59,-245.8732198,-347.020524,40,-198.7954042,-122.9478224
60,-248.8670801,-349.3386252,40,-202.3097277,-129.8915587
61,-247.8797348,-347.6687465,44,-201.8467955,-132.8146338
62,-243.9111716,-343.0109277,51,-198.4064771,-132.7173187
63,-239.9613772,-338.3652088,58,-194.988641,-132.5998761
64,-233.0303371,-330.7316294,68,-188.5931549,-129.4625604
65,-219.1180357,-316.110229,85,-175.2198857,-119.3056187
66,-220.2244562,-316.501047,87,-176.8686997,-124.1292907
67,-217.3495806,-312.9041227,93,-174.5394626,-124.9338091
68,-215.4933899,-310.3194951,98,-173.2320391,-126.7194001
69,-213.6558639,-307.7472032,103,-171.9462936,-128.4862834
70,-212.8369812,-306.1872856,107,-171.6820896,-131.2346727
71,-206.0367194,-298.6397809,117,-165.4392902,-127.964776
72,-198.2550549,-290.1047275,128,-158.2177578,-123.6767956
73,-186.4919629,-277.5821637,143,-147.0173542,-115.3709286
74,-182.7474177,-273.0721273,150,-143.8379408,-115.0473669
75,-178.0213922,-267.5746562,158,-139.6793784,-113.7062975
76,-175.3138585,-264.0897881,164,-137.5415273,-114.3479027
77,-175.6247873,-263.6175604,167,-138.4242475,-117.9723604
78,-174.9541483,-262.1580103,171,-138.3273982,-120.579844
79,-173.3019102,-259.7111748,176,-137.2508385,-122.1705227
80,-170.6680406,-256.2770907,182,-135.194427,-122.7445619
