date,days,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,stringency_index
2/28/2020,1,1,1,0,0,0,11.11
2/29/2020,2,1,0,0,0,0,11.11
3/1/2020,3,1,0,0,0,0,11.11
3/2/2020,4,1,0,0,0,0,11.11
3/3/2020,5,1,0,0,0,0,11.11
3/4/2020,6,1,0,0,0,0,11.11
3/5/2020,7,1,0,0,0,0,11.11
3/6/2020,8,1,0,0,0,0,11.11
3/7/2020,9,1,0,0,0,0,11.11
3/8/2020,10,1,0,0,0,0,11.11
3/9/2020,11,2,1,0,0,0,11.11
3/10/2020,12,2,0,0,0,0,11.11
3/11/2020,13,2,0,0,0,0,11.11
3/12/2020,14,2,0,0,0,0,11.11
3/13/2020,15,2,0,0,0,0,11.11
3/14/2020,16,2,0,0,0,0,11.11
3/15/2020,17,2,0,0,0,0,11.11
3/16/2020,18,2,0,0,0,0,11.11
3/17/2020,19,3,1,0,0,0,11.11
3/18/2020,20,8,5,0,0,0,25.46
3/19/2020,21,8,0,0,0,0,25.46
3/20/2020,22,12,4,0,0,0,33.8
3/21/2020,23,22,10,0,0,0,33.8
3/22/2020,24,30,8,0,0,0,33.8
3/23/2020,25,40,10,1,1,0,48.61
3/24/2020,26,44,4,1,0,0,48.61
3/25/2020,27,51,7,1,0,0,48.61
3/26/2020,28,65,14,1,0,0,52.31
3/27/2020,29,70,5,1,0,0,52.31
3/28/2020,30,89,19,1,0,0,55.09
3/29/2020,31,111,22,1,0,0,82.87
3/30/2020,32,131,20,2,1,1.37,82.87
3/31/2020,33,135,4,2,0,1.36,82.87
4/1/2020,34,174,39,2,0,1.36,82.87
4/2/2020,35,184,10,2,0,1.36,82.87
4/3/2020,36,210,26,4,2,1.36,82.87
4/4/2020,37,214,4,4,0,1.36,82.87
4/5/2020,38,232,18,5,1,1.36,82.87
4/6/2020,39,238,6,5,0,1.37,82.87
4/7/2020,40,254,16,6,1,1.37,82.87
4/8/2020,41,276,22,6,0,1.38,82.87
4/9/2020,42,288,12,7,1,1.39,82.87
4/10/2020,43,305,17,7,0,1.4,82.87
4/11/2020,44,318,13,10,3,1.41,82.87
4/12/2020,45,323,5,10,0,1.43,82.87
4/13/2020,46,343,20,10,0,1.45,82.87
4/14/2020,47,373,30,11,1,1.47,82.87
4/15/2020,48,407,34,12,1,1.48,82.87
4/16/2020,49,442,35,13,1,1.5,82.87
4/17/2020,50,493,51,17,4,1.51,82.87
4/18/2020,51,542,49,19,2,1.52,82.87
4/19/2020,52,627,85,21,2,1.53,82.87
4/20/2020,53,665,38,22,1,1.54,82.87
4/21/2020,54,665,0,22,0,1.54,82.87
4/22/2020,55,873,208,28,6,1.55,82.87
4/23/2020,56,981,108,31,3,1.54,85.65
4/24/2020,57,1095,114,32,1,1.53,85.65
4/25/2020,58,1182,87,35,3,1.53,85.65
4/26/2020,59,1273,91,40,5,1.52,85.65
4/27/2020,60,1337,64,40,0,1.51,85.65
4/28/2020,61,1532,195,44,4,1.5,85.65
4/29/2020,62,1728,196,51,7,1.49,85.65
4/30/2020,63,1932,204,58,7,1.48,85.65
5/1/2020,64,2170,238,68,10,1.47,85.65
5/2/2020,65,2388,218,85,17,1.46,85.65
5/3/2020,66,2558,170,87,2,1.44,85.65
5/4/2020,67,2802,244,93,6,1.43,84.26
5/5/2020,68,2950,148,98,5,1.41,84.26
5/6/2020,69,3145,195,103,5,1.4,84.26
5/7/2020,70,3526,381,107,4,1.39,84.26
5/8/2020,71,3912,386,117,10,1.37,84.26
5/9/2020,72,4151,239,128,11,1.36,84.26
5/10/2020,73,4399,248,143,15,1.34,84.26
5/11/2020,74,4641,242,150,7,1.33,84.26
5/12/2020,75,4787,146,158,8,1.31,84.26
5/13/2020,76,4971,184,164,6,1.3,84.26
5/14/2020,77,5162,191,167,3,1.29,84.26
5/15/2020,78,5450,288,171,4,1.28,84.26
5/16/2020,79,5621,171,176,5,1.27,84.26
5/17/2020,80,5959,338,182,6,1.27,84.26
5/18/2020,81,6175,216,191,9,1.26,84.26
5/19/2020,82,6401,226,192,1,1.25,84.26
5/20/2020,83,6677,276,200,8,1.25,84.26
5/21/2020,84,7016,339,211,11,1.24,84.26
5/22/2020,85,7261,245,221,10,1.24,84.26
5/23/2020,86,7526,265,221,0,1.23,84.26
5/24/2020,87,7839,313,226,5,1.23,84.26
5/25/2020,88,8068,229,233,7,1.22,84.26
5/26/2020,89,8344,276,249,16,1.22,84.26
5/27/2020,90,8733,389,254,5,1.22,84.26
5/28/2020,91,8915,182,259,5,1.21,84.26
5/29/2020,92,9302,387,261,2,1.21,84.26
5/30/2020,93,9855,553,273,12,1.21,84.26
5/31/2020,94,10162,307,287,14,1.2,84.26
6/1/2020,95,10578,416,299,12,1.2,84.26
6/2/2020,96,10819,241,314,15,1.19,84.26
6/3/2020,97,11166,347,315,1,1.19,84.26
6/4/2020,98,11516,350,323,8,1.19,84.26
6/5/2020,99,11844,328,333,10,1.18,84.26
6/6/2020,100,12233,389,342,9,1.18,84.26
6/7/2020,101,12486,253,354,12,1.18,84.26
6/8/2020,102,12801,315,361,7,1.18,84.26
6/9/2020,103,13464,663,365,4,1.18,84.26
6/10/2020,104,13873,409,382,17,1.18,84.26
6/11/2020,105,14554,681,387,5,1.18,84.26
6/12/2020,106,15181,627,399,12,1.17,84.26
6/13/2020,107,15682,501,407,8,1.17,84.26
6/14/2020,108,16085,403,420,13,1.16,84.26
6/15/2020,109,16658,573,424,4,1.16,84.26
6/16/2020,110,17148,490,455,31,1.15,80.09
6/17/2020,111,17735,587,469,14,1.15,80.09
6/18/2020,112,18480,745,475,6,1.14,80.09
6/19/2020,113,19147,667,487,12,1.13,80.09
6/20/2020,114,19808,661,506,19,1.13,80.09
6/21/2020,115,20244,436,518,12,1.12,80.09
6/22/2020,116,20919,675,525,7,1.11,80.09
6/23/2020,117,21371,452,533,8,1.11,80.09
6/24/2020,118,22020,649,542,9,1.1,80.09
6/25/2020,119,22614,594,549,7,1.09,80.09
6/26/2020,120,23298,684,554,5,1.09,80.09
6/27/2020,121,24077,779,558,4,1.08,80.09
6/28/2020,122,24567,490,565,7,1.08,80.09
6/29/2020,123,25133,566,573,8,1.07,80.09
6/30/2020,124,25694,561,590,17,1.06,80.09
7/1/2020,125,26484,790,603,13,1.06,71.76
7/2/2020,126,27110,626,616,13,1.05,71.76
7/3/2020,127,27564,454,628,12,1.05,71.76
7/4/2020,128,28167,603,634,6,1.04,71.76
7/5/2020,129,28711,544,645,11,1.04,71.76
7/6/2020,130,29286,575,654,9,1.03,71.76
7/7/2020,131,29789,503,669,15,1.03,71.76
7/8/2020,132,30249,460,684,15,1.02,71.76
7/9/2020,133,30748,499,689,5,1.02,71.76
7/10/2020,134,31323,575,709,20,1.02,71.76
7/11/2020,135,31987,664,724,15,1.01,71.76
7/12/2020,136,32558,571,740,16,1.01,71.76
7/13/2020,137,33153,595,744,4,1.01,71.76
7/14/2020,138,33616,463,754,10,1,71.76
7/15/2020,139,34259,643,760,6,1,71.76
7/16/2020,140,34854,595,769,9,1,71.76
7/17/2020,141,35454,600,772,3,0.99,71.76
7/18/2020,142,36107,653,778,6,0.99,71.76
7/19/2020,143,36663,556,789,11,0.99,71.76
7/20/2020,144,37225,562,801,12,0.98,71.76
7/21/2020,145,37801,576,805,4,0.98,71.76
7/22/2020,146,38344,543,813,8,0.97,71.76
